GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPCloudViewer,99,0,12,0,24,0,9,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPCorpusDocumentZScoresViewer,83,0,4,0,23,0,5,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPActorsViewer,618,0,30,0,110,0,24,0,9,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,StanfordBratViewer,25,0,0,0,7,0,2,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,TextOutOfPrintViewer,35,0,0,0,9,0,2,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPLexiconViewer,170,0,14,0,38,0,11,0,4,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPPullQuotesViewer,520,0,28,0,106,0,20,0,6,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPStoryArcViewer,437,0,12,0,66,0,12,0,6,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPCorpusDocumentAnnotationZScoresViewer,83,0,4,0,23,0,5,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPCorpusAnnotationCVScoresViewer,62,0,4,0,19,0,5,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,CorporaViewer,54,0,2,0,15,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPEditorViewer,30,0,0,0,8,0,2,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPFactCheckerViewer,30,0,0,0,8,0,2,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPStreamViewerTokens,109,0,10,0,30,0,8,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPCorpusCVScoresViewer,62,0,4,0,19,0,5,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,AbstractOOPServlet,637,0,38,0,136,0,39,0,20,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,AbstractOOPCacheableServlet,21,0,0,0,9,0,4,0,4,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPDocumentViewer,30,0,0,0,8,0,2,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,CorpusDocumentsViewer,62,0,2,0,13,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPStreamViewer,137,0,14,0,35,0,11,0,4,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,OOPCorpusDocumentAnnotationTfidfViewer,83,0,4,0,23,0,5,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,TextMediumViewer,115,0,0,0,24,0,3,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.servlets,TextViewer,33,0,0,0,9,0,2,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.storage,FileStorage,1365,0,92,0,296,0,92,0,46,0
OOP Core NLP Viewer,io.outofprintmagazine.web.util,JsonSort.PhraseAnnotationComparator,20,35,8,6,5,8,7,2,0,2
OOP Core NLP Viewer,io.outofprintmagazine.web.util,JsonSort.SimilarityComparator,57,0,14,0,13,0,9,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.util,JsonSort.ActorsNodeComparator,57,0,14,0,13,0,9,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.util,JsonSort,67,113,5,9,17,29,6,7,3,3
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,CorpusDocumentAnnotationsZScores,234,0,18,0,38,0,12,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,PstLayout,19,0,2,0,6,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,SentencesAnnotationScalar,140,0,12,0,24,0,8,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,CorpusAnnotationSubannotationsAggregates,226,0,14,0,34,0,10,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,CorpusDocumentAnnotationSubannotationsZScores,344,0,34,0,59,0,21,0,4,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,ActorAnnotation,110,0,12,0,22,0,8,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,SentencesAnnotationSubannotationScalar,182,0,24,0,36,0,14,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,RestApp,12,0,0,0,3,0,1,0,1,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,Search,31,0,2,0,8,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,LexiconLemma,20,0,2,0,5,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,TokensAnnotationScalar,154,0,14,0,31,0,9,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,SentencesAnnotationScalarText,157,0,12,0,26,0,8,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,CorpusAnnotationsCVScores,154,0,16,0,27,0,11,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,DocumentAnnotation,134,0,18,0,29,0,11,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,AnnotationDescription,19,0,2,0,4,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,DocumentAnnotations,84,0,8,0,17,0,6,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,TokensAnnotationSubannotationScalar,196,0,26,0,43,0,15,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,CorpusDocumentAnnotationsSimilarity,28,0,2,0,7,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,CorpusDocumentAnnotationSubannotationsSimilarity,204,0,22,0,39,0,15,0,4,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,CorpusAnnotationSubannotationsCVScores,208,0,26,0,40,0,16,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,SentencesAnnotationSubannotationScalarText,199,0,24,0,36,0,14,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,CorpusDocumentAnnotationSubannotationsAggregates,188,0,24,0,37,0,15,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,CorpusDocumentAnnotationSubannotationsTfidf,173,0,20,0,35,0,13,0,3,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,TokenIdxSentence,60,0,6,0,15,0,5,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.api,ActorsScalar,80,0,6,0,16,0,5,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentWORD2VECLemmaPOS,20,0,2,0,5,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentOOPSentencesIdxAnnotation,53,0,8,0,11,0,6,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusBatch,18,0,2,0,5,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentOOPSentencesIdxTokensIdxAnnotation,73,0,12,0,14,0,8,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentOOPTokensIdx,75,0,12,0,22,0,8,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentOOPTokensIdxAnnotationSubannotation,146,0,26,0,39,0,15,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentOOPSentencesIdx,52,0,8,0,11,0,6,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentOOPAnnotationSubannotation,85,0,16,0,22,0,10,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,RestApp,12,0,0,0,3,0,1,0,1,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentScores,67,0,10,0,16,0,7,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocuments,18,0,2,0,5,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentWORD2VECLemma,20,0,2,0,5,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentScoresAnnotation,75,0,10,0,20,0,7,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,Corpora,17,0,2,0,5,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentOOPTokensIdxAnnotation,78,0,12,0,22,0,8,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentOOPSentencesIdxAnnotationSubannotation,112,0,22,0,26,0,13,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentTXT,16,0,2,0,4,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocument,39,0,2,0,10,0,3,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentOOPSentencesIdxTokensIdxAnnotationSubannotation,132,0,26,0,29,0,15,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentPIPELINEAnnotationSubannotation,92,0,20,0,23,0,12,0,2,0
OOP Core NLP Viewer,io.outofprintmagazine.web.rest.browse,CorpusDocumentOOPSentencesIdxTokensIdx,71,0,12,0,14,0,8,0,2,0
